,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
139950,139950,Spain,"Herbal aromas come with bell pepper and berry fruit notes, while the palate is solid in terms of feel but shows classic Navarran flavors of jalapeño and green pepper. Good texture and mouthfeel, but probably too green for a lot of people. Tempranillo with Merlot and Cabernet is the blend.",Dimension Crianza,85,12.0,Northern Spain,Navarra,,Tempranillo Blend,Otazu
140081,140081,Spain,"Plenty of red berry and jam greet you on the nose, and beyond that there's sweet barrel notes and a little wood smoke. It's smart and snappy on the palate, but not all that long or complex. Finishing notes of tobacco add interest. Tasty and ready to go now.",Crianza,87,13.0,Northern Spain,Rioja,,Tempranillo,Ramón Bilbao
140089,140089,Spain,"A good effort in a tough year, and frankly we're happy that Muga decided to make a reserva in 2002. The wine shows lean aromas of dried red fruit, tomato leaf and dill. In fact, dill is a recurring theme from front to back. And along the way there's acids, red cherries, plums and currants. Good but leaner than a normal Muga effort.",Reserve,87,23.0,Northern Spain,Rioja,,Tempranillo Blend,Muga
140090,140090,Spain,"Early aromas of leather, rubber and char sort of shadow the fruit component. But in the mouth there's ample blackberry, cherry and pepper, all of which bring the wine into form. In terms of mouthfeel, it's good. And on the finish it's got some of that espresso bitterness that sings of toasted barrels.",La Vendimia,87,30.0,Northern Spain,Rioja,,Tempranillo,Palacios Remondo
140092,140092,Spain,"Healthy in look, with tobacco, dried spices and pure wood notes on the nose. The palate is drizzled with plum and berry flavors, but there's also ample tobacco and tomato-leaf accents. Overall this aging Rioja is healthy and has enough of the nuances and subtleties to make the grade.",Reserva Especial,87,56.0,Northern Spain,Rioja,,Tempranillo Blend,Campillo
140108,140108,Spain,"A real surprise! Who in their right mind could expect so much quality from a Cab Franc-Tempranillo blend from Penedès? But try it and we guarantee you're going to like it. The nose is meaty, ripe and round, while the palate features pure core fruit backed by chocolaty warmth. With kick as well as subtlety, this is a bargain hunter's dream. Imported by Grapes of Spain.",,91,12.0,Catalonia,Pla de Bages,,Red Blend,Masies d'Avinyo
140127,140127,Spain,"Still young and jumpy, but the ripeness and pedigree of this Penedès bruiser is beyond reproach. It's big, bold and deep as a mountain lake, with black plum, bullion and a pile of blackberry on the palate. Tons of extract and tannins make this inky, saturated heavyweight a wine to ponder. For fans of forward, beefy reds. Imported by Dreyfus, Ashby & Co.",Grans Muralles,91,100.0,Catalonia,Conca de Barberà,,Red Blend,Torres
140176,140176,Spain,"Super pricey but this is a knock-your-socks-off wine with a gorgeous bouquet that shows not even a hint of syrup or jam. The palate is like a nova; it bursts with plum, blackberry and cinnamon. No harshness, not too tannic, and splendid on the finish, where toast and chocolate appear and stick around for a long time. It's 80% old-vines Garnacha and 20% Cabernet, and there just aren't enough superlatives to describe it. Only 300 cases made. Imported by Rare Wine Company.",L'Ermita,98,440.0,Catalonia,Priorat,,Red Blend,Alvaro Palacios
140177,140177,Spain,"The 2002 is the current vintage (reviewed in June), but this wine is superior and is just now entering its prime; call it red nectar with a cement foundation. Mogador offers the purest Priorat fruit going, and the '01 is ethereal, with chewy blackberry, chocolate and vanilla flavors along with horsehide, black pepper and tobacco on the finish. Imported by Europvin/Michael Skurnick Wines.",Tinto,95,75.0,Catalonia,Priorat,,Red Blend,Clos Mogador
140179,140179,Spain,"This reserve-level P.X. sets the gold standard for excellence in sweet sherry. The lovely bouquet straddles the line between unadulterated sweetness and impeccable slyness. The flavors of fig, chocolate, caramel, browned butter and cinnamon are amazing. So chewy and thick, but balanced by firm acids. Brilliant.",Cardenal Cisneros Reservas,94,15.0,Andalucia,Jerez,,Pedro Ximénez,Sanchez Romate
140180,140180,Spain,"Round and lush, with immense fruit from the nose to the palate. Beautifully balanced, with sweet plum and berry flavors, a lash of smoke and a touch of pepper and thyme. There's nothing raw or earthy about this wine; it's opulent and pure, a testament to vineyard management and great winemaking in a tough year. Doesn't even need much cellar time; drink from 2006–09. Imported by Rare Wine Company.",Finca Dofí,94,70.0,Catalonia,Priorat,,Red Blend,Alvaro Palacios
140187,140187,Spain,"A beauty that represents Priorat in its most complete form. Meaty and savage at first, Cims is a terroir wine of the first order. Still, it's polished, with a soft, smooth texture and impressive cherry, cola, spice and vanilla flavors. Coffee and mocha on the finish seal the deal. Made by Sara Pérez of Mas Martinet. Imported by Multiple Importers.",Classic,94,98.0,Catalonia,Priorat,,Red Blend,Cims de Porrera
140188,140188,Spain,"From Daphne Glorian, among the region's original new wavers, Clos Erasmus is simply one of the best, most typical Priorat wines out there. And while the '02 may not rank as a classic, it's still superb. Aromas of graphite, mineral and licorice dominate, backed by layered cherry, plum and earth notes. From four small vineyards around the town of Gratallops. About 450 cases made. Imported by European Cellars.",Tinto,93,125.0,Catalonia,Priorat,,Grenache,Clos Erasmus
140209,140209,Spain,"Clearly more serious than average, with light apple and honey aromas that are followed nicely by lime, apple and white-pepper flavors. Rather round, with freshness and a solid mouthfeel. For cava this is fairly classy and elevated. Imported by Freixenet USA.",Brut Heredad Reserva,88,20.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas
140254,140254,Spain,"Sweet and sour aromas amount to a prickly bouquet, while the palate has some flesh as well as freshness. Nectarine and spiced apple flavors are solid but pithy, and overall the wine is good but lacks concentration. Good for everyday quaffing.",Gran Feudo Rosado,85,15.0,Northern Spain,Navarra,,Rosé,Bodegas Julián Chivite
140255,140255,Spain,"The opening of earth, berry and leather aromas is solid enough, yet the palate is quite acidic, yielding semitart but exact flavors of pie cherry and plum. The finish is tight, with light oak touches. But overall it's on the angular side, with a bit of the razor's edge in terms of acidity.",Inspiración,85,20.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Valdemar
140270,140270,Spain,"Cherry and dried cranberry aromas along with the magenta color give this wine a “red” personality, which is confirmed by the crisp red-fruit flavor profile. Fairly light in weight, but juicy and fresh, with cleansing acidity and some sharpness.",Sombrero Rojo Crianza,84,17.0,Northern Spain,Rioja,,Tempranillo,Bodegas Barriosa
140370,140370,Spain,"Smooth up front, with a light veil of oak sitting on top of black fruit. In the mouth, flavors of raspberry and plum satisfy in a juicy, medium-depth sort of way, while the finish is cushioned by chocolate and vanilla notes. A crianza that gets it right.",Conde de Valdemar Crianza,87,12.0,Northern Spain,Rioja,,Tempranillo,Bodegas Valdemar
140388,140388,Spain,"Color and size are readily apparent but gaps appear between the layers. For starters, the nose doesn't have the purity and density that it could; and the palate also shows some weakness where structure and quality of fruit meet. Otherwise, it's a ripe and modern red wine with some lushness and depth.",Mirto,87,65.0,Northern Spain,Rioja,,Tempranillo,Ramón Bilbao
140397,140397,Spain,"Round, clean and a touch leathery, but not penetrating or dense. For a nice, smooth red wine with some plum and cinnamon spice, look no further. This crianza is easygoing, lightly oaked and good throughout.",Crianza,87,15.0,Northern Spain,Rioja,,Tempranillo,Marqués de Cáceres
140446,140446,Spain,"Alluring cherry and berry aromas show a touch of candied sweetness, yet overall the bouquet is magnetically attractive. And the palate is deep and spicy, with tons of red fruit accented by toast and chocolate. And as far as complexity notes go, there's rose petal, lavender and leather. Eminently drinkable; excellent quality to price ratio. Imported by Allied Domecq Wines USA.",Gran Reserva,90,20.0,Northern Spain,Rioja,,Tempranillo Blend,Campo Viejo
140459,140459,Spain,"A touch of early aromatic raisin gives way to spice, tobacco, tomato and cherry, while the palate is ripe and rich, with flavors of raspberry syrup and prune. Very deep and smooth, with just enough toasty oak to keep things well framed. Imported by Five Star Imports.",L'Espill,90,40.0,Catalonia,Priorat,,Red Blend,Celler Cecilio
140491,140491,Spain,"It's rare that a sweet sherry reaches such heights, but here's a case in point. Iberia has impeccable prune and raisin aromas along with intoxicating scents of toffee and cane sugar. All in all, the bouquet is excellent. The palate, meanwhile, is seamless as it deals raisin, vanilla and mocha. Spot on for a dessert elixir, with a ceaseless finish.",Iberia Cream,93,15.0,Andalucia,Jerez,,Sherry,Sanchez Romate
140496,140496,Spain,"Nutty and intense, like peanut brittle reduced to liquid form—but with less than half the corn syrup. It delivers beautiful texture and intensity; it's almost fruity, but then mushroom, almond and macadamia nut take over. With perfect weight and a finish that doesn't quit, this is a great dry Sherry. Imported by Shaw-Ross International Importers.",Don José Oloroso,93,17.0,Andalucia,Jerez,,Sherry,Sanchez Romate
140504,140504,Spain,"Elevated from the first nosing through the multilevel palate and then out the door. Fragrant like an aromatic magnet, with red licorice, wild flower and jammy fruit. A potent brew, with some medicinal cherry to the toasty finish. Super healthy, with an aggressive personality. Could use a year or two to settle because now it's rather tannic. Imported by Europvin.",Clos Martinet,92,58.0,Catalonia,Priorat,,Red Blend,Mas Martinet
140509,140509,Spain,"Pure and nutty, with aromas of dried apricot and sea air. In the mouth you get lots of almond and butter, while the A-rate finish is buttery but also quite complex. A classic, refined wine that dances across your tongue like a ballerina. Imported by Shaw-Ross International Importers.",NPU Amontillado,92,17.0,Andalucia,Jerez,,Sherry,Sanchez Romate
140510,140510,Spain,"Sassy and forward, with ripe aromas and exotic flavors. This wine registers at 16% but it's not fortified, so it comes across more like a sweet but dry wine than, say, Port. Expressive and rich, with cherry cough drop, dark chocolate and raisin flavors. At one moment it's table wine, the next an elixir. And the finish won't quit. Perfect with cheese. Imported by Jorge Ordoñez/Fine Estates from Spain.",Dolç de l'Obac,92,98.0,Catalonia,Priorat,,Red Blend,Costers del Siurana
140559,140559,Spain,"Initial aromas are squarely in the bell pepper/jalapeño mode, and later moss and earth enter the picture. The palate is basic, a bit acidic, and saucy, with herbal red-fruit flavors and a finish of tomato and basil. Struggles a little, but solid in a “country” sort of way. The blend is Tempranillo, Garnacha, Merlot and Cabernet Sauvignon.",Reserva,84,40.0,Northern Spain,Navarra,,Red Blend,Bodegas Alconde
140563,140563,Spain,"Tan in color and smelling fairly oxidized. Aromas of peach pits and blanched almond lack freshness, while the palate veers more toward applesauce than fresh fruit. There's some life left but not enough to make it a recommended wine. Tastes, feels and smells sort of jumbled.",,84,23.0,Galicia,Rías Baixas,,Albariño,Pazo de Barrantes
140564,140564,Spain,"Chunky spiced apple and saline aromas get the wine off on so-so footing, and the apple and grapefruit flavors come with weight. Citrus takes over on the finish, but it's kind of pithy. Doesn't seem as fresh as it should be for a brand new '08.",,84,15.0,Galicia,Rías Baixas,,Albariño,Nessa
140687,140687,Spain,"A nominally sweet red-candy note helps define the upbeat nose, and it all makes sense once you know that there's 20% Garnacha in the wine along with 75% Tempranillo and Mazuelo. With airing you get nice pie cherry and raspberry flavors, while the mouthfeel is juicy and correct. A good wine for pizza or hamburgers. Imported by Pernod Ricard, USA.",Crianza,86,10.0,Northern Spain,Rioja,,Tempranillo,Campo Viejo
140698,140698,Spain,"Ready as it will ever be, this mildly baked red starts with minty aromas and chocolate. The palate is saturated and full of fruit, but the feel is a touch thin given the color and the lightly cooked aromas. Drink now with food and it will satisfy.",Primum Vitae Crianza,86,17.0,Northern Spain,Rioja,,Tempranillo,Vallformosa
140744,140744,Spain,"Quite yellow, with toffee, peanuts and light fruit aromas. Big and round in the mouth, with dried apple, almond and white pepper flavors. Full and long late, with tons of texture and a strong mushroom accent. Powerful, so you'd better be a fino fan if you're going to tackle this one.",Fino Marismeno Reservas,90,15.0,Andalucia,Jerez,,Sherry,Sanchez Romate
140791,140791,Spain,"The definition of old-vines Priorato can be found within this bottle. The Garnacha is very old, the Cariñena even older, and some mature Cabernet Sauvignon adds spine. On the nose, there's a lot of barrique. The palate is snappy, almost acidic, and thus the flavors run toward pie cherry and raspberry. Classic in style; an Old World throwback. Imported by Jorge Ordoñez/Fine Estates from Spain.",Les Eres Vinyas Velles,91,66.0,Catalonia,Priorat,,Red Blend,Joan Simó
140792,140792,Spain,"Big and ripe, with tobacco, blackberry and fresh-cut lumber on the nose. This big boy weighs in at 15%, so the chocolate, cassis and rich blackberry flavors on the palate should not come as a surprise. Toasty and plush; a model New World red from Jacques and François Lurton and partner Michel Rolland. Imported by Monsieur Touton Selection Ltd.",,91,50.0,Northern Spain,Toro,,Tinta de Toro,Campo Eliseo
140797,140797,Spain,"Ethereal and sort of reminiscent of a fine Port, or maybe Banyuls. Pure and ripe on the nose, with licorice, violet and wild blackberry aromas. This is a smooth-drinking wine that's showing some maturity; meaning the tannins are smooth and the acids not too pointed. A real mouthful, with a measure or two of depth. Finishes big. Imported by Winebow.",Montsalvat,91,72.0,Catalonia,Priorat,,Red Blend,Francesc Sanchez Bas
140799,140799,Spain,"Intense and colorful; one of the most flavorful and sizable versions of Terrasses on record. Flavors of boysenberry, blackberry and plum sizzle, while the layered palate spreads out nicely upon airing. Everything about this Cariñena-dominated wine is solid and precise. A really nice taste of Priorat at a fairly affordable price. Imported by Rare Wine Company.",Les Terrasses,91,32.0,Catalonia,Priorat,,Red Blend,Alvaro Palacios
140805,140805,Spain,"Pure and cerebral, but with enough natural liveliness that you can't help but love it. Aromas of schist, lavender and plum mix with oak-driven bacon and chocolate to create a welcoming whole. Sizable cherry and plum flavors are round but also precise and firm. Looming tannins suggest some cellaring may be warranted. The blend is Garnacha followed by Syrah and Cabernet Sauvignon. Imported by Vinum International.",Cartoixa,91,30.0,Catalonia,Priorat,,Red Blend,Scala Dei
140809,140809,Spain,"This monster is intensely mineral, with aromas of crushed stones mixed with leather, lavender, pepper and cherry. In the mouth, it's heady with maple, leather, asphalt and cola. Comes at you in layers, the last of which is a finishing flow of espresso. Aged 20 months in new 500-liter barrels, not barriques. Imported by Europvin/Michael Skurnick Wines.",Manyetes,91,70.0,Catalonia,Priorat,,Red Blend,Clos Mogador
140810,140810,Spain,"Dark violet in color, with plenty of wood smoke and earth to the nose, which also offers tobacco and mushroom. Dynamic on the palate, with ripe cherry and blackberry flavors. Sort of airy on the finish, with mocha and chocolate. Hefty throughout, with nice tannins. From Marqués de Riscal. Imported by Shaw-Ross International Importers.",Baron de Chirel Reserva,91,60.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Riscal
140815,140815,Spain,"Like a freight train, this wine from the village of Poboleda hits with force. From Joan Doix and his winemaking nephew, Ramón Llagostera, it deftly delivers both red and black fruit notes, all on a lightly tannic frame. To call it lip-smacking and juicy would be correct. The blend is 51% old-vines Garnacha, 46% Cariñena and 3% Merlot. 500 cases made. Imported by European Cellars.",Doix Costers de Vinyes Velles,91,85.0,Catalonia,Priorat,,Red Blend,Mas Doix
140816,140816,Spain,"Ripe and rich; it pushes the limit toward raisiny but doesn't cross the boundary. As a result, the sweet bouquet oozes kirsch, licorice and spice. Stays thick on the palate, but not particularly heavy. Flavors of baked black fruit, mocha and espresso impress, with accents of cinnamon and herbs popping through. Complex and out of the ordinary. Imported by De Maison Selections, Inc.",Tirant,91,75.0,Catalonia,Priorat,,Red Blend,Rotllan Torra
140817,140817,Spain,"Full, tight and entering its prime, this classic Spanish red offers big aromas of leather, blackberry, violets and dried brush. Dense on the palate, with flavors of black olive, tobacco and racy black fruit. Chewy and chocolaty on the finish, with a wash of real-deal tannins. Will age well for at least another five years. Imported by Classical Wines.",Reserva,91,44.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,Pesquera
140818,140818,Spain,"Pristine aromas of caramel, orange peel and leather are both powerful and pure. Flavors of toffee, cinnamon, cheddar cheese and raisin are first-rate, while the sum of the parts is brightened and heightened by perfect acidity. A fine Amontillado that should please anyone with a fondness for good Sherry. Imported by CIV/USA.",Amontillado,91,20.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
140862,140862,Spain,"Early tobacco and mint aromas quickly yield to mossy black fruit, and in the mouth it's fresh and zesty, with mild green-pepper infused plum and cassis flavors. Quite crisp and lean, with herbal influences showing up at all points. Classic Navarran red wine.",Crianza,84,13.0,Northern Spain,Navarra,,Tempranillo Blend,Señorío de Sarria
140870,140870,Spain,"With raisiny, damp aromas and a flat body, we can only label this Marqués de Murrieta high-ender a miss. While not a disaster, you'd expect more from something labeled Gran Reserva Especial, but instead it fails to capture the essence of Rioja and shows heavy cola, blackberry and truffle flavors as well as deep, dull tannins. Overripe to begin with?",Castillo Ygay Gran Reserva Especial,84,54.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Murrieta
140970,140970,Spain,"This is an easy, sweeter style of Viura that emits aromas of peaches and pears. The palate is lively enough but not exactly zesty, and the flavors run toward pink grapefruit and other citrus fruits; but think sweet, nice fruits—not sour ones. Has all the hallmarks of a good aperitif wine.",Cosecha,86,11.0,Northern Spain,Rioja,,White Blend,Ostatu
140975,140975,Spain,"Racy on the nose, with tea, pepper and pine scents along with basic red-fruit aromas. The palate is zingy and fairly trim, with strawberry and raspberry flavors. Finishes fresh and snappy, with a shot of tartness. Drink now. Imported by Pernod Ricard, USA.",Gran Reserva,86,20.0,Northern Spain,Rioja,,Tempranillo,Campo Viejo
141030,141030,Spain,"Rock solid, with spice, leather and piercing oak on the nose. Snappy and upright on the palate, with tons of berry fruit and nice smoky shadings. Balanced and nuanced, with vanilla, licorice, toast and spice on the finish. A winner. Imported by Five Star Imports.",Clos Monlleó,90,60.0,Catalonia,Priorat,,Red Blend,Sangenís I Vaqué
141049,141049,Spain,"Massive yet proportional, with olive, rubber and ripe black fruit on the manly bouquet. The palate is ponderous but tasty, with a huge dose of syrupy berry and black-plum flavors. Ripe as all get out, with firm tannins. To call it a powerhouse would be taking things lightly. Imported by Grapes of Spain.",Tinto,90,46.0,Northern Spain,Vino de la Tierra de Castilla y León,,Red Blend,Luna Beberide
141066,141066,Spain,"Pure Garnacha, which is anathema in the region. Savory on the nose, with roasted meat and spice notes as much as fruit. Once it hits the palate, however, the plum and berry flavors explode. Turns elegant as it opens, while retaining intensity. Flashy stuff. Imported by European Cellars.",Cabrida,91,60.0,Catalonia,Priorat,,Garnacha,Capçanes
141070,141070,Spain,"Plenty of smoked meat, hard spice and pulsating fruit to the nose, which evolves greatly if given time. If there's anything to take issue with, it's that the wine is almost too much of a straight-shooter: It's a touch racy and acidic, with a single beam of bright flavors off of which it doesn't vary. Imported by Jorge Ordoñez/ Fine Estates From Spain.",Clos de l'Obac,90,67.0,Catalonia,Priorat,,Red Blend,Costers del Siurana
141074,141074,Spain,"Dark in color and extremely nutty. Along the way there are notes of seawater and white plum. The palate is a bit tangy and sharp, with orange peel, almond and butter. Oily and complex on the finish, with a buttery tail and plenty of palate presence.",20 Yr. Imperial Amontillado,90,75.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
141076,141076,Spain,"A millennium wine that's now in fine form. It's a typical Garnacha-Cariñena blend that runs heavy on Garnacha. The bouquet is strong and evolved, with leather and mineral along with aromas of crushed flower petals, asphalt and earth. Excellent fruit quality in the mouth; vivid with raspberry and black pepper. 800 cases made. Imported by multiple importers.",6 Vinyes de Laurona,90,45.0,Catalonia,Montsant,,Red Blend,Laurona
141080,141080,Spain,"Immediately this white Garnacha registers as something totally different, but more importantly, it's really good. A mere 108 vines yield this lovely anomaly, almost all of which is imported into the U.S. Look for melon and apricot aromas and flavors, along with accents ranging from almond to peach pit to bee's wax. Spectacular texture. 375 cases made. Imported by European Cellars.",Les Brugueres,90,25.0,Catalonia,Priorat,,Garnacha,Conreria d'Scala Dei
141083,141083,Spain,"All it takes is a quick sniff and it's clear that this is the real thing. Aromas of sweet black cherry, marzipan and dried earth create a classic bouquet. Additional pure cherry on the palate with chocolate; together they strike the right chord. Harmonious and still worthy of some more aging. Imported by Shaw-Ross International Importers.",Gran Reserva,90,36.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Riscal
141159,141159,Spain,"Light cherry and mild sulfuric aromas are standard fare for this class of wine, while the palate is snappy and fresh, with sweet-and-sour cherry and strawberry flavors. Finishes a little gritty and candied, but pleasant enough overall.",Tinto Barrica,84,8.0,Northern Spain,Campo de Borja,,Red Blend,Don Ramón
141170,141170,Spain,"Varietal Graciano is something we frequently see, and very rarely does it bowl us over. This wine has jumpy cherry and lemon peel aromas, and the flavors are tight, a touch sour and run toward cherry and red plum. Fruity for certain, but lacking in charm and mouthfeel.",Viñedo N° 7,84,15.0,Northern Spain,Navarra,,Graciano,Señorío de Sarria
141171,141171,Spain,"Round, big and medicinal, with clumsy, roasted berry fruit aromas. The palate isn't overly charming, and the flavors of tomato paste, cranberry and herbal red fruit are curious. Finishes cleansing and zesty, but with another wave of tomato-based flavors. Shows a lot of cool-climate, mountain influence.",Hache Garnacha-Syrah,84,65.0,Northern Spain,Somontano,,Red Blend,Olvena
141174,141174,Spain,"Baked berry and raisin aromas raise questions about the wine's overall balance, while the plate is sharp and acidic yet tastes of raisin, prune and dried apricots. Rather grabby on the finish. Think slam dancing when approaching this Tempranillo-Garnacha blend.",Señorío de Unx Crianza,83,11.0,Northern Spain,Navarra,,Tempranillo Blend,Bodegas San Martín
141178,141178,Spain,"Is it (MS) or the wine? This vintage of Cáceres rosé seems o.k., but nothing more than a splash across the palate. Cotton candy aromas and grapefruit and orange flavors are what they are. Not bad so long as it's fresh, but it's hard to locate much charm or individuality.",,83,9.0,Northern Spain,Rioja,,Rosé,Marqués de Cáceres
141275,141275,Spain,"A throwback Rioja that sports tobacco, mulch and some true Old-World aromas that make you question the wine's health. But airing breathes life and tilts it toward dried cherries. Finally you discover core power hammered home by hard tannins, sharp acidity and an odd nuttiness. Not a wine for all tastes.",Reserva,86,30.0,Northern Spain,Rioja,,Tempranillo Blend,Dominio de Conte
141283,141283,Spain,"As always, this gracious white wine made from the Viura grape delivers the goods. In this case, it's pineapple and pear aromas in front of pleasant apple and fresh celery flavors. There's even some honeyed apple to the finish. Light, liquidy and never bad when served properly chilled.",,86,7.0,Northern Spain,Rioja,,Viura,Marqués de Cáceres
141299,141299,Spain,"For unafflicted plum and berry character, this young, fresh Rioja has the goods. The sweet berry and cherry palate is at peak drinking condition, and the finish runs longer than expected courtesy of a beam of bright acidity. A wine with Zinfandel-like charm. Imported by Pernod Ricard USA.",Crianza,85,10.0,Northern Spain,Rioja,,Tempranillo,Campo Viejo
141356,141356,Spain,"Almost orange in color but fairly lively on the nose, where cherry, vanilla, leather and licorice come together. Firm and acidic at its center, with surrounding tobacco, cherry and citrus flavors. Shows some toast and root beer on the finish. Very solid stuff from a good vintage. Imported by Five Star Imports.",Gran Reserva,89,21.0,Northern Spain,Rioja,,Tempranillo Blend,Casa de la Reina
141379,141379,Spain,"Dry as a bone, with petrol and green-apple aromas. The palate delivers expected apple and lemon flavors, while the finish is crisp, tangy and a touch tart. Simultaneously acidic and elegant. Classic no-sugar brut nature. Imported by Iberian Wine Importers.",Gold Brut Nature,86,13.0,Catalonia,Cava,,White Blend,Lacatus
141381,141381,Spain,"A bit of roasted corn and hay carry the nose of this semi sweet bubbly. It's round and fruity, with notes of canned pear and hints of sweet spice. Decent acidity and zest ensure that it keeps its balance. Imported by Freixenet USA.",Aria Extra Dry,86,12.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas
141400,141400,Spain,"This wine will stick to your ribs, and it'll grab your palate on the way down, leaving quite an impression. Red fruit, leather and toast create a rock-solid, ideal nose. Moderately syrupy and full-bodied, with smooth berry flavors and plenty of vanilla. Finishes long and classy. Imported by Classical Wines.",La Morera de Montsant,90,34.0,Catalonia,Priorat,,Red Blend,Pasanau Germans
141413,141413,Spain,"90 Dios Baco Cream Sherry; $20. Sweet and a bit unusual, with aromatic notes of cheddar cheese and barnyard along with more typical toffee and caramel. The palate is confectionary and sturdy, with vanilla, maple and mushroom flavors. Plump and rich on the finish.",Cream,90,20.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
141414,141414,Spain,"Five grapes comprise this luscious, intense, well-rounded wine that offers jolting aromas of black cherry, violets and mineral. Fairly plump and succulent relative to the field, with moderate tannins amplifying flavors of black plum, berries, chocolate and wood. Already easy to drink and will hit its prime in 2006. Imported by Jorge Ordoñez/Fine Estates from Spain.",Idus,90,62.0,Catalonia,Priorat,,Red Blend,Vall Llach
141418,141418,Spain,"Bingo! An excellent wine from a great vintage, simple as that. Exotic and complex aromas that highlight Middle Eastern spices, a silky palate and integrated tannins, what more could you want? How about a delicious mix of five grapes, incredibly harmonious and food friendly? No surprise it's this good: It's made by the team at Clos Mogador. Imported by multiple importers.",Tinto,90,28.0,Catalonia,Montsant,,Red Blend,Laurona
141452,141452,Spain,"Salinic, eggy and simply not that fresh. Maybe it's the wine or maybe it's past its prime, but for Albariño it's not showing much. The palate is soft and flat, with fleshy flavors of muddled apple. And the wine just splats against your palate without delivering any grace or cut.",Gran Vinum,83,26.0,Galicia,Rías Baixas,,Albariño,Adegas Gran Vinum
141571,141571,Spain,"Fine aromas that announce balance and completeness draw you in, and right away you will like the cherry, red currant and cassis flavors. But as that fruit sits and the acidity builds, the wine goes racy initially and then almost haywire. By the end it almost falls off toward sour. Best right out of the bottle, and with food.",Crianza,85,14.0,Northern Spain,Rioja,,Tempranillo,Castillo Labastida
141574,141574,Spain,"As per usual, this wine carries a leafiness and peppery quality that runs ahead of its fruit quotient. That doesn't mean it's a poor wine; but it emphasizes dry oak and saucy flavors as opposed to richness and ripeness. Best for Rioja traditionalists and those who might drink it with robust foods.",Finca Monasterio,85,43.0,Northern Spain,Rioja,,Tempranillo Blend,Baron De Ley
141593,141593,Spain,"Aromas of cherry sucking candy, sangria and citrus peel are easy and clean but not what you'd call sophisticated. The palate is forward and basic, with tangy cherry and plum skin flavors. It thickens a bit on the finish but always has a racy personality. Better with food due to grabby tannins and acids.",Reserva,85,25.0,Northern Spain,Rioja,,Tempranillo Blend,Ramón Bilbao
141598,141598,Spain,"Seems like Solabal let its reserva-level grapes get a little too soft before picking. The wine has color and potential, but the nose is a little flat and syrupy. The palate delivers ripe dark fruit flavors but also a touch of medicinality. Balance can be fleeting and this wine doesn't have it all the way.",Reserva,85,23.0,Northern Spain,Rioja,,Tempranillo,Solabal
141638,141638,Spain,"Spicy and exotic, with tight fruit and plenty of tannin in the mouth. There's a lot of juicy blackberry flavors along with full-force acids and verve. Tight as a drum, with some rough edges that should mellow over the next year or so. A wine to watch from a region that's showing its stuff. Imported by Bon Vivant Imports.",Crianza,89,27.0,Northern Spain,Toro,,Tinta de Toro,Rejadorada
141651,141651,Spain,"Quite ripe, with a touch of stewiness that settles with time and morphs into a pool of ripe cherries, berries and raisins. More soft than hard, with easygoing tannins and a meaty, chunky finish laced with licorice and cured meat. Dense and chewy. Imported by Five Star Imports.",Coranya,89,45.0,Catalonia,Priorat,,Red Blend,Sangenís I Vaqué
141652,141652,Spain,"Lots of bacon, leather and earth coat the nose of this vanguard-style Rioja, but unlike the spectacular 2001, the '02 is not nearly as deep and ethereal. Blame the cool, wet vintage and take solace in the fact that it's still a rich, almost syrupy red with integrated tannins and lushness. What's missing is the wine's patented layering and complexity. Imported by Jorge Ordoñez/Fine Estates from Spain.",,89,49.0,Northern Spain,Rioja,,Tempranillo,San Vicente
141668,141668,Spain,"Neutral for the most part, with a touch of toasty wheat and baked apple on the nose. Typical cava petrol invades the palate, but it's overrun by tastier, fresher apple and banana flavors. Exhibits some light toastiness on the finish. Imported by CIV/USA.",Extra Dry,86,9.0,Catalonia,Cava,,Sparkling Blend,Cristalino
141671,141671,Spain,"Colorful stuff, like the flesh of a wild King salmon. The nose offers dried cherry, nectarine and some carbon dioxide. Fresh and tangy in the mouth, with pink grapefruit as the primary flavor despite its Pinot Noir DNA. Good enough to sip on a summer day, but not what you'd call elevated. Imported by Classical Wines.",Brut Reserva Rosé,86,15.0,Catalonia,Cava,,Sparkling Blend,Mont Marçal
141672,141672,Spain,"Neutral yet clean, with pineapple and lemon-lime on both the nose and palate. Nothing out of the ordinary here. It's exactly as it has been for years: bubbly, a touch sweet and satisfying. Imported by Freixenet USA.",Carta Nevada Brut,86,9.0,Catalonia,Cava,,Sparkling Blend,Freixenet
